time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2011-07-13T00:00:00Z,1.403727,1.424783,1.403727,1.410746,46060,171297.5,NaN,NaN
2011-07-14T00:00:00Z,1.403727,1.410746,1.382671,1.382671,97002,170390.9,NaN,NaN
2011-07-15T00:00:00Z,1.38618,1.38618,1.368634,1.368634,162733,165974.75,NaN,NaN
2011-07-18T00:00:00Z,1.368634,1.368634,1.347578,1.365125,164316,167230.25,NaN,NaN
2011-07-19T00:00:00Z,1.358106,1.382671,1.358106,1.382671,57559,167894.65,NaN,NaN
2011-07-20T00:00:00Z,1.375652,1.396708,1.368634,1.38969,104784,171016.55,NaN,NaN
2011-07-21T00:00:00Z,1.382671,1.382671,1.368634,1.382671,25720,160523.45,NaN,NaN
2011-07-22T00:00:00Z,1.396708,1.410746,1.368634,1.410746,135737,161029,NaN,NaN
2011-07-25T00:00:00Z,1.403727,1.403727,1.375652,1.403727,66662,157512.65,NaN,NaN
2011-07-26T00:00:00Z,1.403727,1.403727,1.38969,1.403727,38831,129954.65,NaN,NaN
2011-07-27T00:00:00Z,1.393199,1.43882,1.38969,1.403727,553914,154825.55,NaN,NaN
2011-07-28T00:00:00Z,1.403727,1.403727,1.38969,1.38969,108553,151143.15,NaN,NaN
2011-07-29T00:00:00Z,1.38969,1.400218,1.368634,1.379162,40930,145028.9,NaN,NaN
2011-08-01T00:00:00Z,1.375652,1.431802,1.375652,1.403727,42397,141194,NaN,NaN
2011-08-02T00:00:00Z,1.382671,1.382671,1.354596,1.354596,38894,135200.5,NaN,NaN
2011-08-03T00:00:00Z,1.354596,1.354596,1.270373,1.280901,233870,127779.75,NaN,NaN
2011-08-04T00:00:00Z,1.298447,1.305466,1.28441,1.28441,40459,127438.55,NaN,NaN
2011-08-05T00:00:00Z,1.256336,1.256336,1.151056,1.207205,255074,135959.6,NaN,NaN
2011-08-08T00:00:00Z,1.207205,1.207205,1.108944,1.119472,283373,127460.8,NaN,NaN
2011-08-09T00:00:00Z,1.052795,1.137019,1.052795,1.122982,240295,136858.15,NaN,NaN
2011-08-10T00:00:00Z,1.168603,1.291429,1.168603,1.249317,133977,141254,NaN,NaN
2011-08-11T00:00:00Z,1.256336,1.298447,1.249317,1.298447,146958,143751.8,NaN,NaN
2011-08-12T00:00:00Z,1.375652,1.382671,1.333541,1.379162,652388,168234.55,NaN,NaN
2011-08-15T00:00:00Z,1.410746,1.410746,1.38969,1.396708,812076,200622.55,NaN,NaN
2011-08-16T00:00:00Z,1.396708,1.445839,1.396708,1.403727,69182,201203.7,NaN,NaN
2011-08-17T00:00:00Z,1.403727,1.417764,1.396708,1.417764,56230,198776,NaN,NaN
2011-08-18T00:00:00Z,1.417764,1.466895,1.417764,1.43882,428895,218934.75,NaN,NaN
2011-08-19T00:00:00Z,1.403727,1.466895,1.38618,1.403727,345268,229411.3,NaN,NaN
2011-08-22T00:00:00Z,1.403727,1.43882,1.396708,1.396708,230682,237612.3,NaN,NaN
2011-08-23T00:00:00Z,1.424783,1.43882,1.403727,1.424783,118825,241612,NaN,NaN
2011-08-24T00:00:00Z,1.403727,1.410746,1.382671,1.382671,82108,218021.7,NaN,NaN
2011-08-25T00:00:00Z,1.403727,1.403727,1.382671,1.403727,26545,213921.3,NaN,NaN
2011-08-26T00:00:00Z,1.400218,1.403727,1.38969,1.403727,64402,215094.9,NaN,NaN
2011-08-29T00:00:00Z,1.38969,1.396708,1.38969,1.396708,49187,215434.4,NaN,NaN
2011-08-30T00:00:00Z,1.396708,1.417764,1.38969,1.417764,65627,216771.05,NaN,NaN
2011-08-31T00:00:00Z,1.424783,1.431802,1.417764,1.431802,39814,207068.25,NaN,NaN
2011-09-01T00:00:00Z,1.417764,1.43882,1.393199,1.403727,882749,249182.75,NaN,NaN
2011-09-02T00:00:00Z,1.403727,1.43882,1.403727,1.417764,64680,239663.05,NaN,NaN
2011-09-05T00:00:00Z,1.43882,1.43882,1.417764,1.424783,24037,226696.25,NaN,NaN
2011-09-06T00:00:00Z,1.424783,1.424783,1.403727,1.417764,46821,217022.55,NaN,NaN
2011-09-07T00:00:00Z,1.424783,1.43882,1.424783,1.431802,664942,243570.8,NaN,NaN
2011-09-08T00:00:00Z,1.431802,1.452857,1.431802,1.452857,34136,237929.7,NaN,NaN
2011-09-09T00:00:00Z,1.445839,1.473913,1.431802,1.473913,49417,207781.15,NaN,NaN
2011-09-12T00:00:00Z,1.459876,1.459876,1.431802,1.43882,209502,177652.45,NaN,NaN
2011-09-13T00:00:00Z,1.445839,1.452857,1.43882,1.445839,475741,197980.4,NaN,NaN
2011-09-14T00:00:00Z,1.452857,1.452857,1.431802,1.431802,169153,203626.55,NaN,NaN
